solve_id,Solve
43,แกไขเลขที่ใบลดหนี้
44,แก้ไขใบแจ้งหนี้ที่ผิดพลาด
45,แก้ไขไปแล้ว
46,แก้ไขค่าปรับที่บันทึกผิด
47,แก้ไขจุด Lan เรียบร้อย
48,แก้ไขฟอร์มใบเสร็จเรียบร้อย
49,แก้ไขฟอร์มใบจอง ใบสำคัญรับ
50,แก้ไขฟอร์มใบหัก ณ ที่จ่าย
51,แก้ไขฟอร์ม-ใบหัก ณ ที่จ่าย
52,แก้ไขฟอร์มรายงานตามเอกสารแนบเรียบร้อย
53,แก้ไขฟอร์มหนังสือเตือน
54,แก้ไขรหัสเข้าโปรแกรม
55,แก้ไขระบบ AP เรียบร้อย
56,แก้ไขระบบ Lan เรียบร้อย
57,แก้ไขรายการตามเอกสารเรียบร้อย
58,แก้ไขวันที่ครบกำหนด
59,แก้ไขหนังสือเตือน
60,แก้ไขอัตราค่าน้ำประปา
61,แจ้งให้ Copy ไฟล์โปรแกรมเก็บไว้ก่อน Format เครื่อง
62,แจ้งให้แก้ไขไฟล์ Excel แล้วส่งมาใหม่อีกที
63,แจ้งให้ระดับ 3 แก้ไขใบเสร็จที่ชำระเกินและออกใบลดหนี้ยอดที่ติดลบ
64,แจ้งรหัสระดับ 3 เรียบร้อย
65,-- แนะนำให้ Email แจ้งว่าต้องการให้บ.ชัยวรดิศ กรุ๊ป สามารถแก้ไขชำระโดยได้ เหมือนทะเบียน บ.ชัยวรดิศ <•••> ชัยวรดิศ กรุ๊ป - ส่งเมล์มา ส่งต่อให้ทุกคนแล้ว <•••> เอาชำระโดย แบบใหม่ ในข้อกำหนดฯ ออก
66,แนะนำให้ reindex โปรแกรม
67,แนะนำให้ Reindex ดูก่อน
68,แนะนำให้เลือกรายงานทีละครี่ง
69,แนะนำให้ใช้รหัส 3 แก้ไขใบแจ้งหนี้
70,แนะนำให้ใช้รหัสระดับ 3 แก้ไข
71,แนะนำให้ใช้รหัสระดับ 3 แก้ไขใบเสร็จที่ลงวันผิด
72,แนะนำให้ใช้รหัสระดับ 3 ลบใบเสร็จที่ลงปีผิด
73,แนะนำให้ขอรหัสระดับ 3 เข้าไปแก้ไขใบแจ้งหนี้
74,แนะนำให้ขอรหัสระดับ 3 มาแก้ไขใบแจ้งหนี้
75,แนะนำให้คีย์จำนวนเงินที่ทะเบียนห้อง
76,แนะนำให้ช่างสำรองไดร์ D ก่อนลงวินโดว์ใหม่
77,แนะนำให้ดึงข้อมูลจากเครื่องเก่ามาก่อนลง Windows ใหม่
78,แนะนำให้ตรวจสอบโปรแกรม pdf ดูก่อน
79,แนะนำให้ทางหน้างานลิ้งค์ไปตรวจสอบเองว่าข้อมูลถูกต้องไหม เพราะทางบริษัทไม่รู้ว่าข้อมูลบันทึกถึงเมื่อไหร่ทำให้ไม่สามารถเช็คข้อมูลที่ถูกต้องได้
80,แนะนำให้ทำหนังสือขอย้ายเข้ามาก่อน
81,แนะนำให้ทำหนังสือขอย้ายโปรแกรมเข้ามาก่อน
82,แนะนำให้ประมวลผลก่อนพิมพ์ใบแจ้งหนี้
83,แนะนำให้ยกเลิกแล้วออกใบใหม่
84,แนะนำให้ยกเลิกใบเสร็จแทน
85,แนะนำให้ลองขยับตั้วกั้นหน้าเครื่องปริ๊นซ์ดู
86,แนะนำให้สำรองข้อมูลไฟล์ _Softbiz และ A-BACKUP ก่อนลงวินโดฟ์ใหม่
87,แนะนำให้หาช่าง IT เข้าไปตรวจสอยคอมพิวเตอร์
88,แนะนำให้ออกใบลดหนี้ห้องที่ออกค่าน้ำผืด
89,แนะนำให้อัพเดตโปรแกรม
90,แนะนำการเรียกดูคู่มือใบโปรแกรม
91,แนะนำการดูคู่มือการใช้งานในโปรแกรม
92,โปรแกรมใช้งานได้ปกติ
93,โปรแกรมไม่สามารถก็อปไปใช้ที่อื่นได้
94,โปรแกรมน่าจะมีปัญหาแนะนำให้อัพเดตโปรแกรมอีกที
95,โปรแกรมยังไมสามารถยื่นภาษีออนไลน์ได้
96,ใช้รหัสมาสเคอร์ล้างจอค้าง
97,ใส่ชื่อผู้มีอำนาจลงนาม
98,ให้แก้ไขข้อมูล Import
99,ให้สำรองโฟร์เดอร์ _SOFTBIZ A-BACKUP ไว้ก่อนล้างเครื่อง
100,ให้ออกใบเสร็จใหม่แทนใบเสร็จที่ลบไป
101,-- ไปธนาคาร จะติดต่อมาใหม่ --
102,ไม่ได้อยู่ที่นิติฯ จะติดต่อมาใหม่อีกที
103,- ไม่มีใคร รับสาย --
104,-- ไม่มีใคร รับสาย --
105,-- ไม่มีใคร รับสาย 3 ครั้ง --
106,-- ไม่มีใครรับสาย 3 ครั้ง --
107,ไม่มีช่องให้ใส่ User ID + Password
108,-- ไม่มีรหัสเข้าใช้งานโปรแกรม (ชุดบริหารใหม่) แจ้งให้ส่งเอกสารขอรหัส ทางอีเมล์ ก่อน --
109,-- ไม่สะดวก จะติดต่อมาใหม่ --
110,-- ไม่สะดวก จะติดต่อมาใหม่ พรุ่งนี้ --
111,ไม่สามารถขยายตัวอีกษรได้ เพราะจะทำให้ไปทับกับข้อความช่องอื่น
112,- ไม่อยู่ จะเข้ามาประมาณ 11.00 น.
113,กำหนดให้แก้ไขวันที่ เลขที่ ใบเสร็จได้
114,กำหนดสิทธิ์ User ระดับ 1 ไม่ให้ลบ/แก้ไขใบแจ้งหนี้และใบเสร็จตามหนังสือที่แจ้งมา
115,กำหนดสิทธิ์เรียบร้อย
116,กำหนดสิทธิ์ผู้ใช้งานเรียบร้อย
117,- ขอโหลด โปรแกรม link(anydesk) ก่อน แล้วจะติดต่อกลับมา --
118,-- ข้อมูล ยังหาไม่เจอ ให้ติดต่อไปใหม่ ช่วงบ่าย --
119,ข้อมูลโปรแกรมหาย แนะนำให้เอาไฟล์ที่ Backup ไว้ม่ลงแล้วตรวจสอบดูอีกที
120,ข้อมูลงบทดลองไม่ถูกต้าง แนะนำให้ประมวลผลบัญชีแยกประเภท
121,ข้อมูลที่สำรองไว้ไม่มีอยู่แล้ว
122,คอมลูกค้าเสีย ฮาร์สดิสกู้ไม่ได้ แนะนำให้ลูกค้าทำหนังสือ เพื่อขอลงโปรแกรมใหม่
123,คีย์ค่าน้ำผิดเดือน ลบข้อมูลและให้ทำการคีย์ใหม่
124,คีย์บอร์ดลูกค้ากด F10 ไม่ได้แนะนำให้เปลี่ยนอันใหม่
125,คืนข้อมูล GL ลงโปรแกรม
126,คืนข้อมูลลงโปรแกรมเรียบร้อย
127,คืนข้อมูลสำรอง ติดตั้งสิทธิ์ RGH4 RGH4B
128,คืนข้อมูลสำรองลงโปรแกรมเรียบร้อย
129,คุณปุ๋ยแจ้งว่าเก็บข้อมูลไว้เรียบร้อยแล้วให้ลบได้เลย -- ลบ _Softbiz และ A-Backup ที่ Drive C
130,คุย เรียบร้อย (ลูกค้าสอบถามเกี่ยวกับโปรแกรมธุรกิจอื่นไม่ใช่นิติค่ะ)
131,คุย และแจ้งราคา ADD และ LAN เรียบร้อย
132,คุย อธิบาย+แจ้งราคา และส่งรายละเอียดให้ทางไลน์ เรียบร้อย
133,คุยเรียบร้อย (ให้ลุกค้าส่งหนังสือลงโปรแกรมใหม่ให้ทางเมล์ก่อนคะ)
134,คุยและแจ้งราคา เรียบร้อย
135,งวด 1 มีการแจ้งหนี้ไปแล้วให้แจ้งหนี้ใหม่เป็นงวด 2
136,จะแก้เลขที่ใบเสร็จ แนะนำให้ใช้ระดับ 3 ลบแล้วออกใหม่
137,- จะแก้ใบเสร็จ ต้องให้รหัส 3 แก้เอง
138,จะให้ทางโปรแกรมเมอร์ลบ สถานะออก แนะนำให้ลบที่ทะเบียนห้องเองทีละห้อง
139,- จะดูบันทึกมิเตอร์ย้อนหลัง ปี 2017 / ดูไม่ได้ ระบบจะย้อนดู้ได้ไม่เกิน 2 ปี
140,- จะลบใบแจ้งหนี้ทำใหม่ / ต้องใช้รหัส 3 เพราะตั้งค่าไว้
141,ชื่อนิติบุคคลหมู่บ้านจัดสรร ชวนชื่น พาร์ค กาญจนา - บางใหญ่ ไ่ม่ใช่โปรแกรมของเราเป็นของ QM SOFT
142,ดึง Shotcut มาหน้า Desktop
143,ดึงข้อมูลเรียบร้อย
144,ดึงรายชื่อ ทะเบียนรายรับ ผังบัญชีมาลงไซด์ใหม่
145,-- ตรวจสอบเรียบร้อย มีบางส่วนต้องแก้ไข แล้วให้ส่งมาใหม่ --
146,-- ตรวจสอบแล้ว ให้แก้ไขเพิ่มเติม ตรงเลขที่ใบแจ้งหนี้ ต้องไม่เกิน 10 หลัก แล้วให้ส่งมาตรวจใหม่ --ว*** ตรวจสอบรอบ 2 เรียบร้อย // ข้อมูลถูกต้องพร้อมลง // โทรแจ้งลูกค้าแล้ว // ลูกค้าบอกว่าจะติดต่อมาอีกทีเมื่อพร้อมลงโปรแกรม --
147,-- ตรวจสอบแล้ว ให้แก้ไขบางส่วน แล้วให้ส่งมาใหม่ --? **บ้านเอื้ออาทรท่าอิฐ - Format Excel มาให้ Import ติดต่อ คุณวราเทพ 081-6153580 ส่งเมล์มา ส่งต่อให้ทุกคนแล้ว (ด่วน) ลูกค้าใหม่ (รอบ 2)**
148,ตรวจสอบแล้วรายงานขึ้นปกติ
149,ตรวจสอบข้อมูลเรียบร้อย พร้อมลงโปรแกรมได้
150,ตรวจสอบดูแล้วโปรแกรมตั้งค่าเป็นแนวนอนอยู่แล้ว
151,ต้องการแจ้งหนี้บางหลังเป็นรายปีบางหลังเป็นรายเดือน สามารถทำได้แต่ไม่แนะนำเพราะอาจทำให้แจ้งหนี้ไม่ครบได้ ควรแจ้งเหมือนกันหมดทุกหลัง
152,ต้องการให้เอกสารออกภาษาอังกฤษ แนะนำให้ไปคีย์รายการภาษาอังกฤษที่ทะเบียนประเภทรายรับ และติ๊กเลือกภาษาในเอกสาร
153,-- ต้องการให้ลงเครื่องลูก สอบถามแล้ว เป็นคนละวินโดว์กัน แนะนำให้แก้ไข แล้วติดต่อมาใหม่ --
154,ตอนคำถามเกี่ยวกับคิวอาร์โค้ด
155,ตอบคำถามเกกี่ยวกับการบันทึกค่าน้ำราย 3 เดือน
156,ตอบคำถามเกี่บวกับการเลือกรายงานตามชื่อเจ้าของร่วม
157,ตอบคำถามเกี่ยบกับฟอร์มใบนำส่งประจำวัน
158,ตอบคำถามเกี่ยวกับเครื่องปริ๊นซ์ค้าง
159,ตอบคำถามเกี่ยวกับการ Import ข้อมูลเรียบร้อย
160,ตอบคำถามเกี่ยวกับการแจ้งหนี้เรียบร้อย
161,ตอบคำถามเกี่ยวกับการใช้งานเรียบร้อย
162,ตอบคำถามเกี่ยวกับการคำนวณค่าปรับ
163,ตอบคำถามเกี่ยวกับการดูรายงาน
164,ตอบคำถามเกี่ยวกับการตรวจสอบการยกเลิกหรือลบใบเสร็จ
165,ตอบคำถามเกี่ยวกับการออกใบเสร็จซ้ำ
166,ตอบคำถามเรียบร้อย
167,ตอบคำถามเรื่องการแก้ไขใบเสร็จรับเงิน
168,ตั้งค่าโชว์ยอดหนี้เต็มจำนวน
169,ตั้งค่าขอบเขตการใช้งาน
170,ตั้งรหัสรับล่วงหน้าคนสะรหัสกับค่าส่วนกลางทำให้หักล้างกันไม่ได้ แนะนำให้ทำใบลดหนี้ค่าส่วนกลาง
171,ตั้งหนี้ค่าส่วนกลางเพิ่ม
172,-- ติดต่อแล้ว แต่ Internet มีปัญหา จะติดต่อมาใหม่ --
173,-- ติดต่อไม่ได้ ฝากหมายเลขโทรกลับ --
174,-- ติดตั้ง GL เรียบร้อย --
175,ติดตั้งสิทธิ์ CM-A CM-B
176,ติดตั้งสิทธิ์YDC-1
177,-- ทำเรียบ 2 นิติฯ (1.ดิเอ็กโซ 2.แคทลียา) เหลือ 2 นิติฯ (3.ภูผาธารา AB 4.ภูผาธารา C) ติดต่อไม่ได้ ไม่มีใครรับสาย --
178,น่าจะเกิดปัญหาจากตัวสแกนไวร้ส ทำการปิดตัวสแกนไวรัสเรียบร้อย
179,บรรทัดใบเอกสารไม่มีช่องว่างแล้ว แนะนำว่าไม่ควรเพิ่มบรรทัดเพราะอาจทำให้ข้อความไปทับกับรายการอื่น
180,บันทึกยอดยกมาใหม่
181,บันทึกรายการซ้ำงวด แนะนำให้บันทึกใหม่เป็นงวดอื่น
182,ปริ้นได้ปกติ
183,ปริ้นซ์ได้ปกติ
184,ปริ๊นซ์ได้ปกติ
185,ผ่านรายการปี 65 ใหม่
186,พรุ่งนี้ เวลา 09.00 น. ให้ติดต่อกลับ เพื่อ Remote Update Program ค่ะ
187,ยกเลิกใบเสร็จ แล้วออกใบใหม่
188,ยกเลิกใบเสร็จเลขที่ 0014385
189,ยกเลิกใบเสร็จและลดหนี้ตามเอกสารแนบเรียบร้อย
190,ยกเลิกผู้ใช้งานเรียบร้อย
191,-- ยังไม่เข้างาน แจ้งให้ติดต่อมาใหม่ --
192,-- ยังไม่สะดวก(โปรแกรมกำลังประมวลผลอยู่) จะติดต่อมาใหม่พรุ่งนี้ --
193,ย้ายโปรแกรมเครื่องลูกเรียบร้อย
194,ย้ายจุด Lan 1 จุด
195,ระบบ Lan มีปัญหา แนะนำให้ช่างเช็คระบบดูก่อน
196,-- ระบบ บัญชี Error เข้าใช้งานช้ามากในหน้าบัญทึก ต้องลิ้งค์ตรวจสอบ ตอนนี้ไม่สะดวก จะติดต่อ วันอื่น --
197,-- ระบบขึ้นออโต้ ปิดการทำการแล้ว **เรียบร้อย OK
198,ลงโปรแกรม CM GL NONGHOI1 + import รายชื่อ + ตั้งอัตราก้าวหน้า ค่าน้ำ + เซ็ทฟอร์มใบแจ้งหนี้
199,ลงโปรแกรม CM+คืนข้อมูล+ตั้งรหัส (วันที่ 8/8/2568)ให้ ชาโตว์ อินทาวน์ รัชดา 19 (ลูกค้าฝากเช็คให้แล้ว 7/8/68 จำนวน 30 160 บาท) ส่งเมล์ต่อให้ทุกคนแล้ว--ติดตั้งโปรแกรม ระบบ CM (TCC19) + คืนข้อมูล + สร้างรหัสผู้ใช้งาน
200,ลงโปรแกรมใหม่+คืนข้อมูลเรียบร้อย
201,ลงโปรแกรมใหม่เรียบร้อย ให้ลูกค้าคีย์ข้อมูล Import แล้วติดต่อมาอีกที
202,ลงโปรแกรมใหม่และคืนข้อมูลเรียบร้อย
203,ลงโปรแกรมคืนข้อมูลสำรองติดตั้งสิทธิ์ (PHURINDA)
204,ลงโปรแกรมระบบ CM (BNR) เซ็ทฟอร์มใบแจ้งหนี้ ใบเสร็จรับเงิน สอนการคีย์ข้อมูล Import
205,ลงโปรแกรมระบบ CM ADD1 หน่วยงาน TEST 1 ทะเบียน Import ทะเบียนห้อง ทะเบียนเจ้าของร่วม 2 หน่วยงานแนะนำลูกค้าให้แก้ไขข้อมูลหนี้ค้างชำระ เพิ่มผู้ใช้งานระดับ 3 1 ท่านชื่อ megapmc password 1234 ติดตั้งสิทธิ์การใช้โปรแกรม QUARTER BAAMTHAI
206,ลงโปรแกรมระบบ HJ เรียบร้อย (BCL)
207,ลบโปรแกรมเรียบร้อย
208,ลบรายการบันทึกค่าปรับเรียบร้อย
209,- ลูกค้าแจ้งอยากเปลี่ยนรหัสผ่าน ระดับ 3 เอง ยังไม่สะดวก จะติดต่อมาใหม่ --
210,ลูกค้าขอเป็นพรุ่งนี้ค่ะ
211,- ลูกค้าขอคุยกับโก้เรื่องบันทึกวิธีผูกฝังบัญชี GL วันพุธ 14 กรกฏาคม 2564 10:00 น.
212,ลูกค้าจะนัดติดตั้งจุด Lan
213,ลูกค้าต้องการเปลียนแปลงระดับ 3 แนะนำให้ทำหนังสือเข้ามา
214,-- ลูกค้าต้องการย้ายเครื่อง แจ้งให้ส่งเอกสาร เข้ามาก่อน --
215,ลูกค้าต้องการย้ายโปรแกรมไปเครื่องใหม่ แนะนำให้ทำหนังสือเข้ามาก่อน
216,ลูกค้าตั้งหนี้ไม่ตรงเดือนกับที่จ่ายล่วงหน้า แนะนำให้ยกเลิกใบเสร็จหรือตั้งหนี้ใหม่แทน
217,ลูกค้าบันทึกเลขที่เอกสารซ้ำ แนะนำให้ลบแล้วเพิ่มใหม่
218,-- ลูกค้าส่งข้อมูล Import รายชื่อ+หนี้ค้าง ทางอีเมล์ --
219,ลูกค้าสอบถามว่าถ้าไม่เข้าใจโปรแกรมตรงไหนสามารถโทรมาสอบถามได้ไหม แนะนำไปว่าถ้าใช้งานโปรแกรมแล้วติดขัดหรือสงสัยตรงไหนโทรมาสอบถามที่บริษัทได้ตลอด
220,-- ลูกค้าสะดวก วันเสาร์ที่ 4/12/2564 ตรวจสอบเอกสารทางเมล์ วันที่ 30/11/2564 แล้วสามารถ ตั้งรหัสระดับ3+ล็อคแก้ไขใบแจ้งหนี้ ใบเสร็จ และออก ใบลดหนี้ สำหรับรหัส1 ทำได้เลย -- ลูกค้าจะโทรมาเองเมื่อพร้อม ณ 4/12/2564
221,ลูกค้าฮาร์ดดิสก์เสียจะให้ลงโปรแกรมให้ใหม่ แนะนำให้ทำหนังสือขอลงโปรแกรมเข้ามาก่อน
222,ส่ง Formet Excel ให้ลูกค้าเตรียมข้อมูล
223,ส่งคิว วันที่ 1/7/68 เวลา 9.30 น. รีโมทสอนออกใบแจ้งหนี้
224,- ส่งคิวได้เลยคะ ข้อมูลหายไม่ใช่โปรแกรมหายคะ ***ถ้าลูกค้าไม่มีข้อมูลสำรองก็ไม่สามารถทำอะไรได้คะ
225,สอนเปลี่ยนวันที่คอมเรียบร้อย
226,สอนแก้ไขใบแจ้งหนี้ที่ซ้ำกัน
227,สอนแก้ไขหนี้ค้างผิดห้อง
228,สอนการเพิ่มผู้ใช้งาน
229,สอนการเพิ่มห้องและเจ้าของร่วม
230,สอนการแก้ไขและดูรายงานหนังสือเตือน
231,สอนการแก้ไขข้อความในหนังสือเตือน
232,สอนการแก้ไขข้อมูลที่ผิดพลาด
233,สอนการแก้ไขมิเตอร์น้ำ
234,สอนการแก้ไขหนังสือเตือน
235,สอนการดูข้อมูลผู้จัดทำ
236,สอนการตรจสอบข้อมูลและแก้ไขข้อมูลที่ผิดพลาด
237,สอนการยกเลิกใบเสร็จรับเงิน
238,สอนการรับชำระค่าปรับก่อนค่าส่วนกลาง
239,สอนดูรายละเอียดค่าปรับ
240,สอนยกเลิกใบเสร็จรับเงิน
241,สาย Lan มีปัญหา แนะนำให้ช่างตรวจสอบระบบ Lan อีกที
242,สายเครื่องปริ๊นซ์ไม่แน่น แนะนำให้ขยับสาย แล้วปริ๊นซ์ได้ปกติ
243,อธิบายการใช้งวด เรียบร้อย
244,อธิบายการคำนวณค่าปรับ
245,อธิบายการทำหนังสือกำหนดสิทธิ์ผู้ใช้งาน
246,อธิบายการรหัส 1-3
247,อธิบายการสำรองข้อมูลก่อนลงวินโดว์ใหม่เรียบร้อย
248,อธิบายปัญหาเรียบร้อยแล้ว
249,อบรมการใช้โปรแกรมระบบ CM เรียบร้อย
250,ออกใบเสร็จผิดเดดือน แนะนำให้ใช้ระดับ 3 แก้ไข
251,-- อินเตอร์เน็ต มีปัญหา จะติดต่อมาใหม่ --
252,-- ฮาร์ดดิส เสีย แจ้งให้ลูกค้าส่งเมล์ เพื่อลงโปรแกรมซอฟท์บิสใหม่ --
253,ติดตั้งสิทธิ์ CM CSRT-A CSRT-B
254,(ถอนโปรแกรมเรียบร้อย)***วันที่ 9/3/2566**
255,(นัดรับเช็คแล้ว วันที่ 13/8/2564)
256,(ลูกค้าแจ้งทำได้แล้ว)
257,** -- แนะนำการใช้งานเบิ้องต้น สอนการการบันทึก PV AR MR + การเชื่อมโยงบัญชี + การเพิ่มผังบัญชี -- แล้วให้ทดลองเล่น ดูก่อน มีข้อสงสัย ให้โทรเข้ามา ทาง Support ได้เลย --
258,** เดมโม CM (Google Meet)
259,*** -- ติดตั้งโปรแกรม + เพิ่มทะเบียน อีก 1 หน่วยงาน +Import รายชื่อ ทั้ง 2 หน่วยงาน(TTT-5H TTT-5R) THE TITLE V ทั้ง 2 หน่วยงาน -- เรียบร้อย -- OK
260,*** -- ติดตั้งโปรแกรม + สร้างรหัสผู้ใช้งาน (แต่ยังไม่ได้ Import ข้อมูลต่างๆ) -- ลูกค้าแจ้งว่า จะประสานงานเรื่องข้อมูลก่อน แล้วจะติดต่อมาใหม่ --
261,*** Remote Update Program ให้ เดอะเครสท์ ซานโตรา หัวหิน ติตด่อ คุณไอซ์ 092-2485552 (ลูกค้าฝากเช็คให้แล้ว วันที่ 23/9/65 ยอด 5 200 บาท)
262,*** Remote Update Program ให้ พลัส คอนโดมิเนียม หาดใหญ่ 1 ติตด่อ คุณนิด 095-1038383 (ลูกค้าฝากเช็คให้แล้ว วันที่ 30/11/65 ยอด 5 350 บาท)
263,*** Remote Update ให้ วิวทะเล เรสซิเด้นซ์ 6 คอนโดมิเนียม ติดต่อ คุณสุพรรณี 093-3915573 (ลูกค้าฝากเช็คให้แล้ว)
264,*** Remote เพิ่มทะเบียน 1 ทะเบียน ให้ ทรู หน่วยงาน สมาร์ท คอนโด พระราม 2 ติดต่อ คุณอุไรรัตน์ 096-7184894 (ลุกค้าโอนเงินมาแล้ว วันที่ 9/3/65 ยอด 5 200 บาท)
265,*** เนื่องจาก Cemco ไม่ได้บริหารแล้ว นิติจะใช้โปรแกรมไม่ได้ เสนอราคา CM +โบรชัวร์ ให้ทางนิติซื้อใช้เอง งด Support จนกว่าลูกค้าจะซื้อโปรแกรมค่ะ
266,*** คุยเรื่องราคาเรียบร้อย ส่งคิวเช็คก่อนว่าลูกค้าใช้ LAN แบบไหน เป็นสาย LAN หรือ LAN WI-FI ใช้ทั้งหมดกี่เครื่อง (ตอนนี้ลูกค้าใช้สิทธิ์ได้ แค่ 2 เครื่อง) นอกนั้นคิดเงินค่ะ
267,*** คุยและแจ้งรายละเอียดเรียบร้อย
268,*** คุยและนัดลูกค้าเรียบร้อย ลูกค้าจะ Email แผนที่ให้
269,*** ตอน 14.00 น. ส่งคิว Remote Update Program ให้ลูกค้า (ลูกค้าโอนเงินมาแล้ว วันที่ 29/8/67 จำนวน 5 350 บาท)
270,*** พรุ่งนี้ ตอน 10.30 น. ให้ติดต่อกลับ คำอธิบายในใบเสร็จขึ้นซ้อนกัน
271,*** ส่งคิวแก้ปัญหา+Update Program ให้ลูกค้าได้เลยคะ (ลูกค้าฝากเช็คให้แล้ว วันที่ 2/5/66 ยอด 3 650.40 บาท ส่งเมล์ต่อให้แล้วคะ)
272,**** Remote ติดตั้งสิทธิ์ CM+Update Program ให้ บ้านพฤกษา 93 หน่วยงาน ของ บ.กู๊ด แอสเซท แมเเนจเม้นท์ ติดต่อ คุณนัน 094-440-1117 (ติดตั้งสิทธิ์ถึงวันที่ 19 สิงหาคม 2565)
273,**** ไม่รับสาย
274,******ไม่ได้ย้าย - เปลี่ยนเครื่องลูก 1 เครื่อง
275,******ลูกค้าลบเองเรียบร้อยแล้ว
276,*****ซื่อตรงโคซี่ เฟส1 - ส่งเมล์มา ส่งต่อให้ทุกคนแล้ว****ขอเพิ่มสิทธิ์ใช้งานโปรแกรมระดับ 3***
277,****เมื่อวานลงข้อมูลแล้ว /สอนแก้ชื่อที่อยู่ -แนะนำกรอกหนี้ค้างใน excel
278,****ให้ช่างคอมเข้ามาตั้งค่าการแชร์ปริ้นเครื่องลูก
279,****ไม่ได้ลงโปรแกรม**** /เอาข้อมูลจากสำนักงานใหญ่มาคืนที่หน้างาน
280,****ข้อมูลหาย เข้าโปรแกรมไม่ได้ อาจติดไวรัส ให้หาข้อมูลที่อื่นส่งมาให้เช็ค
281,****ค่าปรับขึ้นติดลบเนื่องจากอัปเดทโปรแกรม/นำไฟล์เก่า cmt_mndb.fxp มาคืน
