question_id,question
14,***  Remote  Update  Program  (วันที่  5/1/2569)  ให้  ดิ  เอ็มไพร์  ทาวเวอร์  พัทยา  ติดต่อ  คุณกุ๊กไก่  083-891-7774  (ลูกค้าฝากเช็คให้แล้ว  วันที่  23/12/68  จำนวน  5  200  บาท)
15,***  Remote  Update  Program  (วันที่  5/1/2569)  ให้  อิสธานัน  คอนโด  1  ติดต่อ  คุณวัล  0863982052  (ลูกค้าโอนเงินให้แล้ว  วันที่  5/1/69  จำนวน  5  200  บาท)  **//**ออกใบเสร็จวันที่  5/1/2569  //เลขที่  69/0014
16,***  Remote  Update  Program  (วันที่  6/1/2569)  ให้  เดอะสกาย  คอนโด  ติดต่อ  นิติ  0972465409  (ลูกค้าฝากเช็คให้แล้ว  วันที่  29/12/68  จำนวน  5  200  บาท)  **//**  ออกใบเสร็จวันที่  29/12/2568  //เลขที่  68/1582
17,***  Remote  Update  Program  (วันที่  6/1/2569)  ให้  ม.โกลเด้น  ทาวน์  2  อ่อนนุช  -  ลาดกระบัง  ติดต่อ  คุณแบงค์  092-924-2239  (ลูกค้าฝากเช็คและโอนเงิน  วันที่  5/1/69  จำนวน  3  650.40  บาท)  **//**  ออกใบเสร็จวันที่  6/1/2569  //เลขที่  69/0019
18,***  เวลา  10.20  น.  Remote  สอนการใช้งาน  AP  ให้  โรงเรียน  อนุบาล  นานาชาติ  ลิตเติ้ลโคอาล่า  ติดต่อ  เบอร์  097-12000892
19,***  โทรกลับ  บ้านชมดาว  ติดต่อ  นิติ  089-1098493  (สอบถามการใช้งานโปรแกรม)
20,***  โทรกลับ  พหลเมทโทรคอนโดมิเนียม  ติดต่อ  นิติ  0935845594  (สอบถามการใช้งานโปรแกรม)
21,***  คาซ่าวิลล์  บางนา-สุวรรณภูมิ  -  ส่งเมล์แจ้ง  ให้แก้ขไขข้อมูลในระบบ  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  5/1/2569)
22,***  สุขสวัสดิ์  โมเดิร์น  คอนโดวิว  -  ส่งเมลืแจ้ง  ลูกหนี้โชว์ในสรุปลูกหนี้แยกประเภท แต่ตอนดึงรายงานลูกหนี้ค้างชำระแยกประเภท  โชว์ว่าไม่มีข้อมูล  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  5/1/2569)  ***  ส่งคิวพุธบ่าย
23,1.ใบแจ้งหนี้ข้อมูลผิด  2.เปลี่ยนข้อความในใบแจ้งหนี้
24,1.ค่าส่วนกลางที่อยู่ผิดออกใบเสร็จไม่ได้  2.ค่าน้ำเดือน  พ.ย.-ธ.ค.ขึ้นยอดค้างแต่กดชำระไม่ได้
25,1.สอบถามการลบใบแจ้งหนี้  2.ค่าส่วนกลางไม่ขึ้นในใบแจ้งหนี้
26,GLขึ้นไม่มีข้อมูลงบทดลอง
27,Remote  Update  Program  (วันที่  5/1/2569)  (ลูกค้าโอนเงินให้แล้ว  วันที่  7/12/2568  จำนวน  5  200  บาท)  **//**  ออกใบเสร็จวันที่  17/12/2568  //เลขที่  68/1532
28,Remote  Update  Program  (วันที่  6/1/2569)  (ลูกค้าฝากเช็คให้แล้ว  วันที่  26/8/2568  จำนวน  3  650.40  บาท)  **//**  ออกใบเสร็จวันที่  26/8/2568  //เลขที่  68/1071
29,Savills  ติดตั้งสิทธิ์  GL  CTS  City  Smart  หมดวันที่  31/12/2025  ติดตั้งถึงวันที่  04/02/2026  >OK  Email
30,Setting  Printer
31,เข้าโปรแกรมไม่ได้
32,เข้าบันทึกใบเสร็จไม่ได้
33,เข้าระบบไม่ได้
34,เข้าหน้าใบเสร็จไม่ได้
35,เข้าหน้าบันทึกใบเสร็จไม่ได้
36,เครื่องลูกโปรแกรมหาย
37,เปลี่ยนเลขที่ใบเสร็จ
38,เปลี่ยนเลขที่บัญชีใบแจ้งหนี้
39,เปลี่ยนเลขที่รันบิล
40,เปลี่ยนปี  ค.ศ.  ไม่ได้
41,เปลี่ยนปี  ค.ศ./พ.ศ  ไม่ได้
42,เปลี่ยนปี  พ.ศ
43,เปลี่ยนปีใบแจ้งหนี้
44,เปลี่ยนปีใบสำคัญรับไม่ได้
45,เปลี่ยนรหัสระดับ  1
46,เปิดเข้าโปรกรมไม่ได้  โปรแกรมล็อค
47,เปิดเข้างบทดลองไม่ได้
48,เปิดใบเสร็จไม่ได้
49,เผลอกดลบดาต้า  แล้วโปรแกรมหายเข้าไม่ได้
50,เพิ่มเลขที่ใบเสร็จไม่ได้
51,เพิ่มข้อความ/รายการในใบแจ้งหนี้
52,เพิ่มข้อความตรงหมายเหตุในหนังสือเตือน
53,เพิ่มบรรทัดในฟอร์มใบเสร็จ
54,เพิ่มรายการยอดรับเข้า
55,เลขที่ใบเสร็จไม่ต่อเนื่อง
56,เวลากดบันทึกต้องกดซ้ำ2รอบ
57,เอาค่าน้ำที่ค้างชำระออก
58,แก้ไขเพิ่มราคาค่าส่วนกลาง
59,แก้ไขเลขที่ใบเสร็จ
60,แก้่ไขเลขมิเตอร์น้ำ
61,แก้ไขใบเสร็จ
62,แก้ไขใบแจ้งหนี้
63,แก้ไขใบแจ้งหนี้/รายงานบัญชีลูกหนี้
64,แก้ไขข้อมูลลูกบ้าน
65,แก้ไขบิล
66,แก้ไขปี  พ.ศ.  ในใบเสร็จ
67,แก้ไขปีในใบเสร็จ
68,แก้ไขวันที่ชำระเงิน
69,แก้ไขสาขาธนาคารในใบแจ้งหนี้
70,แก้ไขหนังสือเตือน
71,โปรแกรม  Error
72,โปรแกรมเข้าแล้วเด้งออก
73,โปรแกรมขึ้น  Error
74,โปรแกรมขึ้นError
75,โปรแกรมขึ้นExpire
76,โปรแกรมขึ้นหมดอายุ
77,โปรแกรมค้าง
78,โปรแกรมหาย
79,ใบเสร็จ/ใบแจ้งหนี้  ไม่ตรงฟอร์ม
80,ใบแจ้งหนี้ไม่ขึ้น  1  หลัง
81,ใบแจ้งหนี้ไม่ตรงฟอร์ม
82,ใบแจ้งหนี้ข้อมูลไม่ครบ
83,ใบแจ้งหนี้ค่าส่วนกลางยอดไม่รวมกับยอดเก่า  ส่งคิวได้เลย  ลูกค้าโอนเงินให้แล้ว  (ลูกค้าโอนเงินให้แล้ว)  วันที่  3/1/2569  ยอด  11  556  บาท)  **//**
84,ใบแจ้งหนี้ซ้ำ
85,ใบแจ้งหนี้ปริ้นแล้วยอดไม่ตรง  เดือนหาย  1  เดือน
86,ใบแจ้งหนี้หมายเหตุไม่ขึ้น
87,ใส่บ้านเลขที่ผิด
88,ไฟล์เสีย
89,ไม่ต้องการให้บ้านที่ไม่ใช่เจ้าของปัจจุบันโชว์ในรายการ
90,ไม่สามารถบันทึกคำอธิบายรายการประจำงวด
91,ขอรหัสมาสเตอร์  (Thanadol  Suwintrakorn(IT  Support))
92,ค่าปรับเดือน12ขึ้นไม่ครบห้อง
93,ค่าปรับยอดไม่โชว์ในใบแจ้งหนี้
94,ค่าส่วนกลางไม่ขึ้นเป็นบางห้อง
95,คีย์มิเตอร์น้ำผิด
96,จะเรียนสอบถามเรื่องการตั้งหนี้ครับ  ผมตั้งหนี้เสร็จแล้ว  save  เรียบร้อยแล้วพอไปผ่านรายการแจ้งว่าไม่มีข้อมูล  ปีที่แล้วทำได้ปีนี้ไม่รู้ว่าทำไม่ได้  ทั้งที่ผมก็อัดวีดีโอแล้วทำตามทุกอย่างแล้ว  ยังไงรบกวนช่างเทคนิคด้วยนะครับ  แต่มาดูรายการหน้าออกใบเสร็จรายการมันขึ้นนะครับ  แต่หน้าที่จะแก้ไขให้เป็นปี  69  น่ะไม่มี  แต่หน้าที่จะแก้ไขให้เป็นปี  69  นะไม่มี  อีกประเด็นหนึ่งเช่นใบนี้ครับหายเดือนมกราคมไปแต่ยอดรวมครบ  อีกอย่าง  ผมเข้าไป  ข้อ4  เพิ่มคำอธิบาย  ไม่มียอดปี69  แต่ออกใบเสร็จได้  ออกใบเสร็จ  69  ได้  แค่ขาดคำ  อธิบาย  แต่ผมไม่ได้อยู่หน้าจอขอเป็นพรุ่งนี้ช่วง  10  โมงนะครับ  ผมจะเอา  คอมพิวเตอร์มาด้วย  0967425944  (ส่งมาทางไลน์  วันที่  5/1/2569)
97,จะให้ดึง  shortcut  ให้
98,ชำระแล้วแต่ยอดยังขึ้นคงค้าง
99,ดึงCMเข้าระบบ  ยอดไม่ตรง
100,ต้องการเปลี่ยนพ.ศ.เป็นปี2569
101,ต้องการแยกบิลค่าขยะกับค่าอุปกรณ์ออกจากกัน
102,ต้องการใส่ส่วนลดค่าส่วนกลาง
103,ต้องการปริ้นเป็น  A4
104,ตั้งค่าเครื่องปริ้น
105,ตั้งค่าเลขที่ใบเสร็จ
106,ตั้งค่าใบเสร็จ
107,ตั้งค่าใบแจ้งหนี้
108,ตั้งค่าใบแจ้งหนี้ปี  69
109,ตั้งค่าปริ้นเตอร์
110,ตั้งค่าหน้ากระดาษ
111,ตั้งค่าหน้ากระดาษปริ้น
112,ตั้งค่าหนี้ปี69
113,ตั้งรหัสปี69
114,ติดต่อกลับลูกค้าด้วยค่ะ
115,ทำใบแจ้งหนี้ผิด
116,บันทึกใบเสร็จไม่ได้
117,บันทึกประจำงวดแล้วข้อมูลไม่ขึ้นในใบแจ้งหนี้
118,ประมวณผลแล้วยังขึ้นยอดค้างชำระปีเก่าๆ
119,ปริ้นไม่ตรงฟอร์ม
120,ปริ้นมีปัญหา
121,ภาษาในใบแจ้งหนั้ไม่เป็นภาษาไทย  (  ส่งมาทางไลน์  วันที่  3/1/2569)
122,ยอดใบแจ้งหนี้ยกมา  ไม่ครบ
123,ยอดค้างค่าส่วนกลางไม่ขึ้นในใบเสร็จ
124,ยอดชำระแล้วขึ้นคงค้าง
125,ร็อคโค่นคอนโด  อ่าวนาง  0619191008  แจง  รบกวนให้เจ้าหน้าที่โทรมาแก้ไขรายการให้หน่อยนะคะ  (ส่งมาทางไลน์  วันที่  5/1/2569)
126,ราคาต่อหน่วยขึ้นไม่ตรง
127,รายการในใบเสร็จออกมาไม่ครบ
128,รายการบันทึกใบเสร็จไม่ได้
129,ลงใบแจ้งหนี้ผิดปี
130,ลบค่าส่วนกลางในใบแจ้งหนี้
131,ลูกค้าเปลี่ยนคอมใหม่สอบถามรายละเอียด
132,ลูกค้าแจ้งติดตั้งสิทธิ์/สิทธิ์หลุด
133,ลูกค้านัดรับเช็ค  MA
134,ลูกค้าส่งหนังสือขอเพิ่มรหัสระดับ  3  (ส่งมาทางไลน์  วันที่  5/1/2569)
135,ลูกค้าส่งหนังสือขอลบข้อมูลใบเสร็จรับเงิน-เนื่องจากบันทึกปี  ค.ศ.  ผิดพลาด  (  ส่งมาทางไลน์  วันที่  3/1/2569)  (  Email:วันที่  3/1/2569  )
136,ลูกค้าส่งหนังสือย้ายโปรแกรม(จะให้ลงโปรแกรมเปล่าให้ที่เครื่องใหม่)-  (ส่งมาทางไลน์  วันที่  26/12/2568)
137,ลูกค้าสอบถามการเปลี่ยนรหัสผู้ใช้งาน
138,ศิริวิทย์  -  ส่งเมล์แจ้งออกใบเสร็จไม่ได้  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  2/1/2569)
139,ส่งรหัสมาสเตอร์
140,สร้างใบแจ้งหนี้ซ้ำ
141,สอบถามเรื่องแจ้งหนี้
142,สอบถามเรื่องใบเสร็จ
143,สอบถามเรื่องใบเสร็จรับล่วงหน้า
144,สอบถามเรื่องใบแจ้งหนี้
145,สอบถามเรื่องใบแจ้งหนี้/แก้ไขรายชื่อ
146,สอบถามเรื่องใบแจ้งหนี้ค่าน้ำ  ยอดยกมา
147,สอบถามเรื่องการออกใบแจ้งหนี้
148,สอบถามเรื่องบิลไม่รัน
149,สอบถามเรื่องปริ้น
150,สอบถามเรื่องมิเตอร์ไฟ
151,สอบถามเรื่องยอดค้างชำระในเบี้ยค่าปรับ
152,สอบถามเรื่องหนี้ค้างค่าน้ำ
153,สอบถามการเปลี่ยนวันที่และข้อมูลบริษัทในใบแจ้งหนี้
154,สอบถามการเพิ่มค่าไฟฟ้า
155,สอบถามการแก้ไขบิลซ้ำ
156,สอบถามการใช้งาน
157,สอบถามการใส่ค่าปรับ
158,สอบถามการใส่ส่วนลด
159,สอบถามการกู้คืนใบแจ้งหนี้
160,สอบถามการดึงรีพอร์ตย้อนหลังค่าส่วนกลาง
161,สอบถามการตั้งเบี้ยปรับ
162,สอบถามการตั้งค่าใบเสร็จ
163,สอบถามการตั้งค่าหนี้ส่วนกลาง
164,สอบถามการตั้งหนี้ค่าส่วนกลาง
165,สอบถามการทำใบแจ้งหนี้
166,สอบถามการทำใบแจ้งหนี้ค่าน้ำ
167,สอบถามการทำค่าปรับค่าส่วนกลาง
168,สอบถามการทำค่าส่วนกลางปี2025
169,สอบถามการทำค่าส่วนกลางรายปี
170,สอบถามการทำยอดยกมา
171,สอบถามการทำยอดรับชำระล่วงหน้า
172,สอบถามการทำหนี้ยกมา
173,สอบถามการบันทึกค่าน้ำ
174,สอบถามการปริ้นใบแจ้งหนี้แบบรวม
175,สอบถามการสรุปยอดเปอร์เซ็นต์ค่าส่วนกลาง
176,สอบถามการสำรองข้อมูล
177,สอบถามการสำรองขึ้นมูลก่อนย้ายเครื่อง
178,สอบถามการออกใบแจ้งหนี้
179,สอบถามการออกใบแจ้งหนี้ค่าส่วนกลาง
180,สอบถามการออกใบแจ้งหนี้ค่าส่วนกลางปี  69
181,สอบถามค่าส่วนกลาง
182,สอบถามรายละเอียดการย้ายเครื่อง
183,สอบถามวิธีการลบบิล
184,สำรองข้อมูลไม่ได้
185,หนี้ในระบบไม่ตัด
186,หาใบเสร็จไม่เจอ
187,ออกใบเสร็จแล้วเลขผู็เสียภาษทับกัน
188,ออกใบเสร็จแล้วใบแจ้งหนี้หาย
189,ออกใบเสร็จไม่ได้
190,ออกใบแจ้งหนี้ค่าน้ำยอดไม่ขึ้น
191,ออกใบแจ้งหนี้ผิด  ต้องการจะลบใบแจ้งหนี้
192,แก้ไขตารางสรุปรับเงิน
193,ยอดชำระแล้วแล้ว  ไม่ตัดในระบบ
194,ใบเสร็จไม่ขึ้น
195,สอบถามการเปลี้ยนภาษา
196,สอบถามการแบ่งภาษีเป็นสองรหัส
197,***  Remote  Update  Program  (วันที่  7/1/2569)  ให้  บ้านสมประสงค์  ติดต่อ  คุณเก้า  038-237206  (ลูกค้าโอนเงินให้แล้ว  วันที่  7/1/69  จำนวน  4  173  บาท)
198,***  โทรกลับ  สหกรณ์เคหสถานชุมชนคลองเตย  (โครงการ  70  ไร่)  ติดต่อ  คุณลิ  087-6895313  (ใบเสร็จหาย)
199,แจ้งหนี้แล้วยอดไม่ขึ้น
200,ยกเลิกบิล
201,สอบถามการออกใบแจ้งหนี้่
202,***  Remote  ลงโปรแกรม  CM-GL-ADDx1  (วันที่  7/1/2569)  ให้  โครงการ  Siam  Oriental  Dream Condominium  ติดต่อ  คุณนก  087-8200600  (ลูกค้าโอนเงินให้แล้ว  วันที่  6/1/69  จำนวน  35  360  บาท)  **//**  ออกใบเสร็จวันที่  7/1/2569  //เลขที่  69/0023
203,โปรแกรม  GL  เด้งออก
204,ลูกค้าสอบถามรายละเอียดและราคาการเพิ่มจุด  LAN  ให้ส่งไปที่  Emai:sensiritownlamchabang@gmail.com
205,สอบถามการลงค่าใช้จ่าย
206,นัดรับเช็คMA
207,รายงานมิเตอร์น้ำไม่ดึงยอดเดือนเก่ามาด้วย
208,ออกใบแจ้งหนี้แล้วยอดค้างชำระไม่มา
209,สอบถามการใส่รหัสค่าบริการ
210,ออกใบเสร็จแล้วยอดไม่ตัด
211,ปริ้นออกไม่ครบ
212,ชำระค่าส่วนกลางแล้วยอดยังขึ้นคงค้าง
213,สอบถามเรื่องค่าปรับปี68/ใบแจ้งหนี้ปี69
214,เปิดดูใบแจ้งหนี้แล้ว  Error
215,***  ศุภาลัย  พาร์ควิลล์  วงแหวน-ราชพฤกษ์  -  ส่งหนังสือมาหให้เพิ่มรหัสสำหรับส่วนกลาง  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  7/1/2569)
216,***  IRM-Extra  (ซิตี้ลิงค์คอนโด  อาคารเมลเบิร์น)  -  ส่งเมล์แจ้งให้ติดตั้งสิทธิ์  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  7/1/2569)
217,สอบถามการดึงรายงานใบเสร็จค่าส่วนกลาง
218,ใบแจ้งหนี้ตัวหนังสือซ้อนกัน  //ปริ้นออกมา  ตัวหนังสือซ้อนกันค่ะ  (ส่งมาทางไลน์  วันที่  7/1/2569)
219,ตั้งค่าหน้ากระดาษใบเสร็จ
220,เพิ่มเบอร์โทรศัพท์ในใบแจ้งหนี้
221,ใบแจ้งหนี้เดือนธ.ค.68หาย
222,สอบถามเรื่องค่าส่วนกลาง
223,แก้ไขราคาค่าน้ำ
224,สอบถามการทำใบเสร็จ
225,เพิ่มรหัสผู้ใช้งานระดับ  1
226,***  เซนสิริทาวน์แหลมฉบัง  2  -  ส่งหนังสือมาให้ย้ายโปรแกรม  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  7/1/2569)
227,เปลี่ยนคอมแล้วภาษาเพี้ยน
228,สำรองข้อมูลก่อนย้ายเครื่อง
229,สอบถามการทำใบลดหนี้
230,สอบถามรายละเอียดและค่าใช้จ่ายการย้ายโปรแกรม
231,ค่าน้ำไม่ขึ้นในใบแจ้งหนี้
232,ออกใบเสร็จแล้วค่าส่วนกลางไม่ตรง
233,อยากรู้ยอดชำระค่าส่วนกลางล่วงหน้า
234,Savills  ติดตั้งสิทธิ์  GL  NPC  โนเบิล  เพลินจิต  หมดวันที่  14/11/2026  ติดตั้งถึงวันที่  14/11/2026  >OK  Email
235,ระบบไม่ขึ้นหนี้ค้าง
236,Savills  ติดตั้งสิทธิ์  GL  STP  สาทร  พาร์ค  เพลส  หมดวันที่  31/12/2025  ติดตั้งถึงวันที่  07/02/2026  >OK  Email
237,เปลี่ยนปีพ.ศ.ตรงหัวกระดาษ
238,ใบเสร็จมีปัญหา
239,***  Remote  Update  Program  (วันที่  8/1/2569)  ให้  วินด์  สุขุมวิท  23  ติตด่อ  คุณเสาวลักษณ์  065-116-6617  (ลูกค้าโอนเงินให้แล้ว  วันที่  4/1/69  จำนวน  4  056  บาท)
240,ปริ้นรายการแจ้งหนี้ไม่ได้
241,ออกใบเสร็จผิดต้องการยกเลิกบิล
242,ลูกค้าขอใบเสนอราคา  MA  ให้ส่งไปที่  Email:silomterrace.st@gmail.com
243,Savills  ติดตั้งสิทธิ์  GL  CLP  ชิดลม  เพลส  หมดวันที่  31/10/2026  ติดตั้งถึงวันที่  31/10/2026  >OK  Email
244,ส่ง  Format  Excel  มาให้  import  (ส่งมาทางไลน์  วันที่  8/1/2569)
245,ต้องการให้ปริ้นออกต่อเนื่อง
246,Re-Index  ขึ้นไฟล์เสีย
247,สำรองข้อมูล  ของหน่วยงาน  สาธร  เพลส  มาแล้วเปิดที่สำนักงานใหญ่ขึ้นไฟล์เสีย
248,ต้องการปริ้นใบแจ้งหนี้แบบไม่ขึ้นค้างชำระ
249,แก้ไขเลขบัญชี
250,1.เพิ่มผู้ใช้งาน  2.เพิ่มช่องในใบเสร็จ
251,ลูกค้าจะให้แก้ไข  Format  Excel  เพิ่มเติมค่ะ  (ส่งมาทางไลน์  วันที่  8/1/2569)
252,แก้ไขตารางรายงานลูกหนี้  ยอดขึ้นไม่หมด
253,แก้ไขค่าน้ำ
254,รายงานเคลื่อนไหวลูกหนี้ไม่ขึ้นปี  พ.ศ
255,ลูกค้าต้องการทราบรายละเอียดราคาและขอใบเสนอราคาMA  ส่งไปที่E-mail  :  bsn.juristic@gmail.com
256,เปลี่ยนหมายเหตุในบิลค่าส่วนกลาง
257,ลูกค้าต้องการทราบรายละเอียดราคาและขอใบเสนอราคาโปรแกรม  ส่งไปที่E-mail  :  bsn.juristic@gmail.com
258,โปรแกรมเข้าไม่ได้
259,ยอดหนี้ขึ้นแต่ไม่ขึ้นเลขห้อง  ในหน้ารายงาน
260,ลูกค้าชำระแล้ว  ระบบไม่ตัดค่าส่วนกลาง
261,ยอดหนี้ไม่ตัด
262,สอบถามการออกบิลค่าส่วนกลาง
263,ออกใบเสร็จแล้วแต่ยอดไม่ตัด
264,แก้ไขเลขที่มิเตอร์น้ำ
265,ขอใบเสนอราคา  MA  ส่งไปทางไลน์ที่Line  Id:@nitipk15
266,ยอดชำระเงินในใบเสร็จ  ตัวเลขผิด
267,ลูกค้าแจ้งนัดรับเช็ค  MA/นัดวันอัพเดทโปรแกรม
268,ใบแจ้งหนี้ไม่ตัดยอด  ชำระล่วงหน้า
269,ลูกค้าขอใบเสนอราคาMA-UPส่งไปที่E-mail  :  akulmak15@gmail.com
270,ปริ้นใบเสร็จตกขอบ
271,***  โบ๊ทเฮ้าส์หัวหิน  เอ  บี  ซี  นิติบุคคลอาคารชุด  เดอะ  เลจเจ้นท์  และนิติบุคคลหมู่บ้านจัดสรร  โบ๊ทเฮ้าส์หัวหิน  -  ส่งหนังสือมาให้ลงโปรแกรมใหม่  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  9/1/2569)
272,สอบถามการทำค่าน้ำ
273,ลูกค้าขอใบเสนอราคาMA  ส่งไปที่E-mail  :  supalai.kearai@gmail.com
274,***  Remote  เพิ่มทะเบียน  1  ทะเบียน  (วันที่  9/1/2569)  ให้  บ.ทัฟฟ์  เซอร์วิส  หน่วยงาน  นิติบุคคลหมู่บ้านจัดสรร  ซิกเนเจอร์  รามอินทรา  ติดต่อ  คุณตี๋  089-421-8923  (ลูกค้าโอนเงินให้แล้ว  วันที่  9/1/69  จำนวน  5  200  บาท)  **//**  ออกใบเสร็จวันที่  9/1/2569  //เลขที่  69/0032
275,สอบถามเรื่องใบเสร็จ/ใบแจ้งหนี้
276,เปลี่ยนอัตราค่าน้ำ
277,***  บ.เอ็ม  แอนด์  เฟรนด์  -  ส่งเมล์แจ้งถอนโปรแกรม  หน่วยงาน  เดอะมันนี่  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  8/1/2569)
278,ประมวลผลลูกหนี้ไม่ได้
279,ปรับฟอร์มใบแจ้งหนี้
280,ใบเสร็จหาย
281,ยอดค่าน้ำชำระแล้ว  ขึ้นคงค้าง
282,***  วิลล์คอน  -  ส่งเมล์แจ้งถอน  หน่วยงาน  ซิตี้วิลล์  คอนโดมิเนียม  อาคาร  เอ  อาคาร  บี  อาคาร  ซีและดี  อาคาร  อี  เอฟ  จี  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  8/1/2569)
283,สอบถามค่าบริการรายปี  MA  สะดวกผ่านโทรศัพท์
284,สอบถามรายละเอียดการอัพเดทโปรแกรม
285,ลูกค้าขอใบเสนอราคาMA-UPส่งไปที่E-mail  :  nirvanasukumvit@gamil.com
286,***  Remote  เพิ่ม  LAN  1  จุด  (วันที่  9/1/2569)  ให้  เอ  ไลฟ์  สุขุมวิท  76  ติดต่อ  คุณอำนวยพร  ดิสราพร/0818554892  (ลูกค้าโอนเงินให้แล้ว  วันที่  8/1/69  จำนวน  2  600  บาท)  **//**  ออกใบเสร็จวันที่  9/1/2569  //เลขที่  69/0031
287,ขอรหัสผู้ใช้งานระดับ  1
288,สอบถามเรื่องการออกใบเสร็จ
289,Reindex  ไม่ได้
290,สอบถามการทำรายงานรายวัน
291,ปริ้นใบเสร็จไม่ตรงฟอร์ม
292,รายงานรายรับไม่ขึ้นยอด
293,เพิ่มข้อมูลในใบแจ้งหนี้
294,เข้าดูรายงานลูกหนี้ไม่ได้
295,สอบถามการบันทึกใบเสร็จ
296,เปลี่ยนรายชื่อในใบแจ้งหนี้
297,แก้ไขปี  พศ  ในใบแจ้งหนี้
298,ใบแจ้งหนี้ปริ้นไม่ตรงฟอร์ม
299,จ่ายล่วงหน้าแล้วยอดไม่ตัด
300,ตั้งหนี้ค่าส่วนกลางปี  69
301,ยอดยกมาไม่ตรง
302,ปริ้นยอดรายรับไม่ได้
303,แก้ไขค่าขยะ
304,สอบถามการออกใบลดหนี้
305,สอบถามการตั้งค่าการแจ้งหนี้
306,สอบถามเรื่องค่าขยะ
307,ไอคอนsoftbizหาย
308,ค่าปรับไม่ขึ้น
309,Remote  Update  Program  (วันที่  12/1/2569)  (ลูกค้าโอนเงินให้แล้ว  วันที่  31/12/2568  จำนวน  5  200  บาท)  **//**  ออกใบเสร็จวันที่  2/1/2569  //เลขที่  69/0004
310,ยกเลิกการสั่งปริ้นท์
311,เข้าโปรแกรมแล้วข้อมูลหาย
312,Program  GL  Expire
313,โปรแกรมหายไปจากหน้าจอ
314,แก้ไขชื่อ/บ้านเลขที่ไม่ได้
315,ระบบขึ้นทำงานผิดพลาด
316,Program  GL  Expire  ของหน่วยงาน  (สาทรเพลส)
317,ส่งหนังสือมาให้ลงโปรแกรมใหม่  (ส่งมาทางไลน์  วันที่  12/1/2569)
318,สอบถามการเพิ่มเลขที่ใบเสร็จให้สาขา
319,เปลี่ยนชื่อผู้มีอำนาจลงนาม
320,สอบถามการเรื่องรายงานภาษีขาย
321,ลูกค้าขอใบเสนอราคา  MA  ให้ส่งไปที่  Email:ssensemajor2017@gmail.com
322,เลขห้องหายไป  1  ห้อง
323,แก้ไขเอกสาร
324,Program  expire
325,สอบถามเรื่องค่าเบี้ยปรับ
326,สวัสดีครับ  รบกวนแก้ไขรายละเอียดออกไม่ครบครับ  (ส่งมาทางไลน์  วันที่  12/1/2569)
